Origin,Treatment,Coral ID,Colony,Week,% change in SA by day,% change in vol by day
Slope,Stable,RS9C,9,1,-7.142857143,-7.142857143
Slope,Stable,RS9D,9,1,1.629072682,-2.13121923
Flat,Variable,RF13A,13,3,1.571428571,-0.520940403
Flat,Variable,RF13B,13,3,2.090592334,0.923004448
Flat,Stable,RF13C,13,3,0.865800866,6.517240884
Flat,Stable,RF13D,13,3,1.351351351,-1.766964498
Flat,Variable,RF14A,14,3,0.201207243,5.064138471
Flat,Variable,RF14B,14,3,,
Flat,Stable,RF14C,14,3,0.084033613,-2.904300175
Flat,Stable,RF14D,14,3,3.18877551,0.621640584
Flat,Variable,RF15A,15,3,-0.074404762,0.000842474
Flat,Variable,RF15B,15,3,0.879120879,1.040006357
Flat,Stable,RF15C,15,3,-0.368188513,1.438472414
Flat,Stable,RF15D,15,3,1.334379906,2.095122145
Flat,Variable,RF16A,16,3,0.396825397,-0.79999194
Flat,Variable,RF16B,16,3,,
Flat,Stable,RF16C,16,3,0.100603622,-0.787594305
Flat,Stable,RF16D,16,3,-0.442477876,-1.423104257
Flat,Variable,RF17A,17,3,0.185528757,24.8633957
Flat,Variable,RF17B,17,3,0.306122449,-3.135614559
Flat,Stable,RF17C,17,3,0.662739323,-1.305236965
Flat,Stable,RF17D,17,3,0.075987842,7.729110993
Flat,Variable,RF18A,18,3,,
Flat,Variable,RF18B,18,3,-0.082101806,-2.021320542
Flat,Stable,RF18C,18,3,0.207039337,-1.663574335
Flat,Stable,RF18D,18,3,1.285714286,3.156590347
Flat,Variable,RF19A,19,3,0.696864111,-2.86955785
Flat,Variable,RF19B,19,3,-0.595238095,1.779372017
Flat,Stable,RF19C,19,3,0.412087912,6.261390921
Flat,Stable,RF19D,19,3,0.621118012,3.058647247
Flat,Variable,RF20A,20,3,,
Flat,Variable,RF20B,20,3,-0.242130751,-1.048493122
Flat,Stable,RF20C,20,3,0.510204082,3.514105701
Flat,Stable,RF20D,20,3,-2.087912088,-2.124852675
Flat,Variable,RF22A,22,3,-7.142857143,-7.142857143
Flat,Variable,RF22B,22,3,0.484261501,11.27051485
Flat,Variable,RF22C,22,3,-1.14638448,3.622082287
Flat,Stable,RF22D,22,3,-0.274725275,4.741644401
Flat,Variable,RF23A,23,3,-7.142857143,-7.142857143
Flat,Variable,RF23B,23,3,1.091269841,5.876939443
Flat,Stable,RF23C,23,3,0.784929356,13.13399831
Flat,Stable,RF23D,23,3,0.747508306,3.102219733
Flat,Variable,RF24A,24,3,-0.501253133,-1.865450221
Flat,Variable,RF24B,24,3,0.921658986,12.49127765
Flat,Stable,RF24C,24,3,-1.587301587,0.995801699
Flat,Stable,RF24D,24,3,-0.684931507,-0.743912537
Flat,Stable,RF25A,25,3,1.406926407,-7.142857143
Flat,Variable,RF25B,25,3,-7.142857143,-7.142857143
Flat,Stable,RF25C,25,3,0.22556391,2.190252087
Flat,Stable,RF25D,25,3,1.120448179,10.82440151
Slope,Variable,RS11A,11,3,1.785714286,-0.040389429
Slope,Variable,RS11B,11,3,-1.428571429,0.86657956
Slope,Stable,RS11C,11,3,0.176366843,-1.936743484
Slope,Stable,RS11D,11,3,1.367781155,-0.23588246
Slope,Variable,RS12A,12,3,-0.816326531,4.250117125
Slope,Variable,RS12B,12,3,-0.880626223,-1.263721854
Slope,Stable,RS12C,12,3,0.759878419,-0.096220973
Slope,Stable,RS12D,12,3,-0.919377652,5.561830745
Slope,Variable,RS13A,13,3,0.317460317,-4.399710928
Slope,Variable,RS13B,13,3,2.380952381,-0.346050867
Slope,Stable,RS13C,13,3,-0.686813187,8.767892017
Slope,Stable,RS13D,13,3,-0.714285714,-0.807332555
Slope,Variable,RS14A,14,3,-0.69124424,0.887785288
Slope,Variable,RS14B,14,3,-1.785714286,-0.311581518
Slope,Stable,RS14C,14,3,-0.391389432,1.048066704
Slope,Stable,RS14D,14,3,0.357142857,1.550013777
Slope,Variable,RS15A,15,3,-0.529100529,-0.758660579
Slope,Variable,RS15B,15,3,0.751879699,2.027389622
Slope,Stable,RS15C,15,3,0.297619048,3.745797498
Slope,Stable,RS15D,15,3,0,-3.559572933
Slope,Variable,RS1A,1,3,-0.137362637,6.356481645
Slope,Variable,RS1B,1,3,-1.886792453,1.41587264
Slope,Stable,RS1C,1,3,1.063829787,3.360294567
Slope,Stable,RS1D,1,3,,
Slope,Variable,RS2A,2,3,-0.529100529,5.243260146
Slope,Variable,RS2B,2,3,1.360544218,-1.568953004
Slope,Stable,RS2C,2,3,0.892857143,-2.56644639
Slope,Stable,RS2D,2,3,,
Slope,Variable,RS3A,3,3,0.446428571,6.285998515
Slope,Variable,RS3B,3,3,-0.178571429,-2.404339062
Slope,Stable,RS3C,3,3,-0.133511348,6.946934873
Slope,Stable,RS3D,3,3,-2.132196162,2.064883715
Slope,Variable,RS6A,6,3,2.380952381,-4.285872911
Slope,Variable,RS6B,6,3,0.242130751,-1.042316711
Slope,Stable,RS6C,6,3,0.702576112,1.498412345
Slope,Stable,RS6D,6,3,0.850340136,17.52378158
Slope,Variable,RS7A,7,3,1.285714286,16.69542197
Slope,Variable,RS7B,7,3,-7.142857143,-7.142857143
Slope,Stable,RS7C,7,3,-1.098901099,11.48348023
Slope,Stable,RS7D,7,3,0.204081633,-3.024168994
Slope,Variable,RS8A,8,3,0.510204082,-0.342492476
Slope,Variable,RS8B,8,3,-7.142857143,-7.142857143
Slope,Stable,RS8C,8,3,-1.388888889,13.29756054
Slope,Stable,RS8D,8,3,-0.941915228,-2.394052812
Slope,Variable,RS9A,9,3,0,-2.792706177
Slope,Variable,RS9B,9,3,-0.250626566,-2.699163741
Slope,Stable,RS9C,9,3,,
Slope,Stable,RS9D,9,3,0,17.97775032
Flat,Variable,RF13A,13,5,-0.292740047,-0.79347452
Flat,Variable,RF13B,13,5,0.539083558,0.798498655
Flat,Stable,RF13C,13,5,0.772200772,-7.142857143
Flat,Stable,RF13D,13,5,-0.730519481,4.743813921
Flat,Variable,RF14A,14,5,1.956947162,1.135238204
Flat,Variable,RF14B,14,5,-0.155279503,-1.411381643
Flat,Stable,RF14C,14,5,1.245847176,2.669302714
Flat,Stable,RF14D,14,5,0.440917108,-1.805217087
Flat,Variable,RF15A,15,5,1.278195489,0.325529882
Flat,Variable,RF15B,15,5,1.369863014,-1.491609239
Flat,Stable,RF15C,15,5,0.155279503,-1.369655432
Flat,Stable,RF15D,15,5,0.396825397,2.861965142
Flat,Variable,RF16A,16,5,1.315789474,-4.449803389
Flat,Variable,RF16B,16,5,0.38961039,-2.173232255
Flat,Stable,RF16C,16,5,0,2.875041657
Flat,Stable,RF16D,16,5,-7.142857143,-7.142857143
Flat,Variable,RF17A,17,5,0.904159132,-3.700349623
Flat,Variable,RF17B,17,5,1.272015656,10.86407052
Flat,Stable,RF17C,17,5,0.943396226,4.475994016
Flat,Stable,RF17D,17,5,0.15037594,-2.199373042
Flat,Variable,RF18A,18,5,0.736377025,-0.556081582
Flat,Variable,RF18B,18,5,1.328903654,6.752965616
Flat,Stable,RF18C,18,5,1.710261569,-7.142857143
Flat,Stable,RF18D,18,5,-0.121065375,-3.092839415
Flat,Variable,RF19A,19,5,1.26984127,10.72963674
Flat,Variable,RF19B,19,5,1.428571429,0.272413481
Flat,Stable,RF19C,19,5,0.519480519,0.712689762
Flat,Stable,RF19D,19,5,0.342857143,0.960860942
Flat,Variable,RF20A,20,5,0.918367347,9.603154881
Flat,Variable,RF20B,20,5,2.130325815,1.997235835
Flat,Stable,RF20C,20,5,1.428571429,1.500167533
Flat,Stable,RF20D,20,5,-7.142857143,-7.142857143
Flat,Variable,RF22A,22,5,,
Flat,Variable,RF22B,22,5,0.907029478,0.893350932
Flat,Variable,RF22C,22,5,2.205882353,7.850632144
Flat,Stable,RF22D,22,5,0,-3.596065981
Flat,Variable,RF23A,23,5,,
Flat,Variable,RF23B,23,5,1.979345955,3.36209359
Flat,Stable,RF23C,23,5,0.777934936,-4.111838739
Flat,Stable,RF23D,23,5,1.203007519,2.905930411
Flat,Variable,RF24A,24,5,3.099730458,12.58496293
Flat,Variable,RF24B,24,5,1.224489796,-3.044931219
Flat,Stable,RF24C,24,5,2.857142857,2.602620544
Flat,Stable,RF24D,24,5,-7.142857143,-7.142857143
Flat,Stable,RF25A,25,5,-0.361663653,
Flat,Variable,RF25B,25,5,,
Flat,Stable,RF25C,25,5,0.801749271,3.186949888
Flat,Stable,RF25D,25,5,-0.484261501,-0.125321085
Slope,Variable,RS11A,11,5,1.19047619,4.76823683
Slope,Variable,RS11B,11,5,1.785714286,-2.465809682
Slope,Stable,RS11C,11,5,0.774526678,0.262152974
Slope,Stable,RS11D,11,5,0.255102041,5.592690669
Slope,Variable,RS12A,12,5,1.382488479,2.078166912
Slope,Variable,RS12B,12,5,1.5625,-3.125846494
Slope,Stable,RS12C,12,5,0.686813187,-4.266867604
Slope,Stable,RS12D,12,5,0.730519481,5.438109037
Slope,Variable,RS13A,13,5,2.431610942,5.865873988
Slope,Variable,RS13B,13,5,3.174603175,5.098390086
Slope,Stable,RS13C,13,5,1.823708207,0.363436188
Slope,Stable,RS13D,13,5,1.133786848,-2.365497219
Slope,Variable,RS14A,14,5,1.147959184,0.024844771
Slope,Variable,RS14B,14,5,4.166666667,0.881815335
Slope,Stable,RS14C,14,5,0.82815735,1.028452727
Slope,Stable,RS14D,14,5,0.595238095,-3.126820777
Slope,Variable,RS15A,15,5,1.333333333,-1.623648378
Slope,Variable,RS15B,15,5,1.020408163,4.676647748
Slope,Stable,RS15C,15,5,0.380952381,-3.016018258
Slope,Stable,RS15D,15,5,0.22675737,1.986534645
Slope,Variable,RS1A,1,5,0.840336134,-0.307031188
Slope,Variable,RS1B,1,5,2.747252747,3.193538815
Slope,Stable,RS1C,1,5,0.925925926,-2.584455814
Slope,Stable,RS1D,1,5,0.22675737,7.989188511
Slope,Variable,RS2A,2,5,1.333333333,2.550249729
Slope,Variable,RS2B,2,5,0.285714286,25.56435502
Slope,Stable,RS2C,2,5,0.476190476,4.670212746
Slope,Variable,RS3A,3,5,0.840336134,-2.790461002
Slope,Variable,RS3B,3,5,2.014652015,8.359214443
Slope,Stable,RS3C,3,5,0.884353741,0.75651694
Slope,Stable,RS3D,3,5,-0.607902736,1.090654711
Slope,Variable,RS6A,6,5,0.595238095,6.375277305
Slope,Variable,RS6B,6,5,-0.468384075,-1.645951041
Slope,Stable,RS6C,6,5,0.746268657,-4.448001684
Slope,Stable,RS6D,6,5,1.215805471,-1.689893114
Slope,Variable,RS7A,7,5,0.242130751,-2.325757539
Slope,Variable,RS7B,7,5,,
Slope,Stable,RS7C,7,5,0.649350649,-3.59586714
Slope,Stable,RS7D,7,5,0.198412698,0.956956941
Slope,Variable,RS8A,8,5,1.428571429,-0.823470917
Slope,Variable,RS8B,8,5,,
Slope,Stable,RS8C,8,5,3.325123153,0.90842943
Slope,Stable,RS8D,8,5,1.084990958,3.547839318
