"","Date","Time","Origin","Temperature","Date_Time","X","Treatment"
"73",2021-01-08,"13:00:00","Slope",26.977,2021-01-08 13:00:00,NA,NA
"74",2021-01-08,"13:00:00","Flat",27.665,2021-01-08 13:00:00,NA,NA
"75",2021-01-08,"13:00:00","Flat",28.06,2021-01-08 13:00:00,NA,NA
"76",2021-01-08,"13:30:00","Slope",26.977,2021-01-08 13:30:00,NA,NA
"77",2021-01-08,"13:30:00","Flat",27.764,2021-01-08 13:30:00,NA,NA
"78",2021-01-08,"13:30:00","Flat",28.159,2021-01-08 13:30:00,NA,NA
"79",2021-01-08,"14:00:00","Slope",27.075,2021-01-08 14:00:00,NA,NA
"80",2021-01-08,"14:00:00","Flat",27.173,2021-01-08 14:00:00,NA,NA
"81",2021-01-08,"14:00:00","Flat",27.567,2021-01-08 14:00:00,NA,NA
"82",2021-01-08,"14:30:00","Slope",26.977,2021-01-08 14:30:00,NA,NA
"83",2021-01-08,"14:30:00","Flat",26.879,2021-01-08 14:30:00,NA,NA
"84",2021-01-08,"14:30:00","Flat",27.272,2021-01-08 14:30:00,NA,NA
"85",2021-01-08,"15:00:00","Slope",27.37,2021-01-08 15:00:00,NA,NA
"86",2021-01-08,"15:00:00","Flat",26.781,2021-01-08 15:00:00,NA,NA
"87",2021-01-08,"15:00:00","Flat",27.173,2021-01-08 15:00:00,NA,NA
"88",2021-01-08,"15:30:00","Slope",27.272,2021-01-08 15:30:00,NA,NA
"89",2021-01-08,"15:30:00","Flat",26.683,2021-01-08 15:30:00,NA,NA
"90",2021-01-08,"15:30:00","Flat",27.075,2021-01-08 15:30:00,NA,NA
"91",2021-01-08,"16:00:00","Slope",27.567,2021-01-08 16:00:00,NA,NA
"92",2021-01-08,"16:00:00","Flat",26.683,2021-01-08 16:00:00,NA,NA
"93",2021-01-08,"16:00:00","Flat",27.075,2021-01-08 16:00:00,NA,NA
"94",2021-01-08,"16:30:00","Slope",27.173,2021-01-08 16:30:00,NA,NA
"95",2021-01-08,"16:30:00","Flat",26.585,2021-01-08 16:30:00,NA,NA
"96",2021-01-08,"16:30:00","Flat",26.977,2021-01-08 16:30:00,NA,NA
"97",2021-01-08,"17:00:00","Slope",27.173,2021-01-08 17:00:00,NA,NA
"98",2021-01-08,"17:00:00","Flat",26.488,2021-01-08 17:00:00,NA,NA
"99",2021-01-08,"17:00:00","Flat",26.879,2021-01-08 17:00:00,NA,NA
"100",2021-01-08,"17:30:00","Slope",26.977,2021-01-08 17:30:00,NA,NA
"101",2021-01-08,"17:30:00","Slope",27.075,2021-01-08 17:30:00,NA,NA
"102",2021-01-08,"17:30:00","Flat",26.488,2021-01-08 17:30:00,NA,NA
"103",2021-01-08,"17:30:00","Flat",26.781,2021-01-08 17:30:00,NA,NA
"104",2021-01-08,"18:00:00","Slope",26.879,2021-01-08 18:00:00,NA,NA
"105",2021-01-08,"18:00:00","Flat",26.39,2021-01-08 18:00:00,NA,NA
"106",2021-01-08,"18:00:00","Flat",26.781,2021-01-08 18:00:00,NA,NA
"107",2021-01-08,"18:30:00","Slope",26.781,2021-01-08 18:30:00,NA,NA
"108",2021-01-08,"18:30:00","Flat",26.292,2021-01-08 18:30:00,NA,NA
"109",2021-01-08,"18:30:00","Flat",26.683,2021-01-08 18:30:00,NA,NA
"110",2021-01-08,"19:00:00","Slope",26.683,2021-01-08 19:00:00,NA,NA
"111",2021-01-08,"19:00:00","Flat",26.195,2021-01-08 19:00:00,NA,NA
"112",2021-01-08,"19:00:00","Flat",26.585,2021-01-08 19:00:00,NA,NA
"113",2021-01-08,"19:30:00","Slope",26.488,2021-01-08 19:30:00,NA,NA
"114",2021-01-08,"19:30:00","Flat",26.097,2021-01-08 19:30:00,NA,NA
"115",2021-01-08,"19:30:00","Flat",26.488,2021-01-08 19:30:00,NA,NA
"116",2021-01-08,"20:00:00","Slope",26.39,2021-01-08 20:00:00,NA,NA
"117",2021-01-08,"20:00:00","Flat",26,2021-01-08 20:00:00,NA,NA
"118",2021-01-08,"20:00:00","Flat",26.292,2021-01-08 20:00:00,NA,NA
"119",2021-01-08,"20:30:00","Slope",26.292,2021-01-08 20:30:00,NA,NA
"120",2021-01-08,"20:30:00","Flat",25.902,2021-01-08 20:30:00,NA,NA
"121",2021-01-08,"20:30:00","Flat",26.195,2021-01-08 20:30:00,NA,NA
"122",2021-01-08,"21:00:00","Slope",26.195,2021-01-08 21:00:00,NA,NA
"123",2021-01-08,"21:00:00","Flat",25.708,2021-01-08 21:00:00,NA,NA
"124",2021-01-08,"21:00:00","Flat",26.097,2021-01-08 21:00:00,NA,NA
"125",2021-01-08,"21:30:00","Slope",26.097,2021-01-08 21:30:00,NA,NA
"126",2021-01-08,"21:30:00","Flat",25.61,2021-01-08 21:30:00,NA,NA
"127",2021-01-08,"21:30:00","Flat",26,2021-01-08 21:30:00,NA,NA
"128",2021-01-08,"22:00:00","Slope",26,2021-01-08 22:00:00,NA,NA
"129",2021-01-08,"22:00:00","Flat",25.513,2021-01-08 22:00:00,NA,NA
"130",2021-01-08,"22:00:00","Flat",25.902,2021-01-08 22:00:00,NA,NA
"131",2021-01-08,"22:30:00","Slope",25.805,2021-01-08 22:30:00,NA,NA
"132",2021-01-08,"22:30:00","Slope",25.902,2021-01-08 22:30:00,NA,NA
"133",2021-01-08,"22:30:00","Flat",25.416,2021-01-08 22:30:00,NA,NA
"134",2021-01-08,"22:30:00","Flat",25.805,2021-01-08 22:30:00,NA,NA
"135",2021-01-08,"23:00:00","Slope",25.708,2021-01-08 23:00:00,NA,NA
"136",2021-01-08,"23:00:00","Flat",25.319,2021-01-08 23:00:00,NA,NA
"137",2021-01-08,"23:00:00","Flat",25.708,2021-01-08 23:00:00,NA,NA
"138",2021-01-08,"23:30:00","Slope",25.61,2021-01-08 23:30:00,NA,NA
