"","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
"1",8,35,27.813375,1,0,8.161,7.49835929722143e-06,283.015301655049,283.890781484351,283.015301655049,283.890781484351,283.015301655049,283.890782377221,0.00162874890433896,0.000282789626625308,0.00191903689026149,0.002322987,4.55065618044312,6.84333543558513
"2",8,35,27.813375,1,0,8.143,7.90389270167831e-06,298.321604573355,299.24444939055,298.321604573355,299.24444939055,298.321604573355,299.244450382613,0.00164713397705273,0.000274371036444668,0.00192940890619907,0.002320621,4.41518406326074,6.63961071912947
"3",8,35,27.813375,1,0,8.166,7.36295675221157e-06,277.904718045775,278.764383672413,277.904718045775,278.764383672413,277.904718045775,278.764384533327,0.00161785702697383,0.000284151188898679,0.00190937117262472,0.00231592,4.57256646706965,6.87628440710259
"4",8,35,28.03625,1,0,8.174,7.17732598895976e-06,272.343859530162,273.184056138579,272.343859530162,273.184056138579,272.343859530162,273.18405696157,0.00161295117007033,0.000290895455404413,0.00191102395146371,0.002327005,4.68657358404536,7.04261424320249
"5",8,35,28.03625,1,0,8.181,7.00547212529361e-06,265.822859288847,266.642931998614,265.822859288847,266.642931998614,265.822859288847,266.642932782665,0.00159991148955211,0.000293232210147681,0.00190014917182509,0.002320213,4.72422069350936,7.09918735884271
"6",8,35,28.03625,1,0,8.17,7.24114926875591e-06,274.76563588173,275.613306203983,274.76563588173,275.613306203983,274.76563588173,275.613307041676,0.00161237497112446,0.000288125545182098,0.00190774166557531,0.002319995,4.6419479708331,6.9755543808992
"7",8,35,27.2225,1,0,8.135,8.16695521308574e-06,303.89826750757,304.845103966462,303.89826750757,304.845103966462,303.89826750757,304.845105008664,0.00165278103163864,0.000264552562226892,0.00192550054907862,0.002303116,4.24422085367007,6.39469017067809
"8",8,35,27.2225,1,0,8.136,8.13998516887645e-06,302.894692797539,303.838401381675,302.894692797539,303.838401381675,302.894692797539,303.838402417005,0.00165112046218907,0.000264896006920342,0.00192415645427829,0.002302353,4.24973074220696,6.40299181926878
"9",8,35,27.2225,1,0,8.16,7.58259066613765e-06,282.15364313081,283.032709027297,282.15364313081,283.032709027297,282.15364313081,283.032709925688,0.00162544679289723,0.00027559377905203,0.00190862316261539,0.002303207,4.4213552662219,6.66157536018337
"10",8,35,27.28585714,1,0,8.147,8.18667191152369e-06,305.099137657289,306.04898891982,305.099137657289,306.04898891982,305.099137657289,306.048989968895,0.00170518964574715,0.000281234805295819,0.00199461112295449,0.002391629,4.51331410883494,6.79874756308434
"11",8,35,27.28585714,1,0,8.154,7.7216896746104e-06,287.770279112401,288.66616317594,287.770279112401,288.66616317594,287.770279112401,288.666164109228,0.00163447260075201,0.000273951716123822,0.00191614600655044,0.002307849,4.39643359299231,6.62268157186481
"12",8,35,27.28585714,1,0,8.16,7.57693019749065e-06,282.375413883371,283.254497182142,282.375413883371,283.254497182142,282.375413883371,283.254498080763,0.00162614245038878,0.000276347135868241,0.00191006651645452,0.002305608,4.4348757826697,6.68058995960082
"13",8,35,27.3306,1,0,7.924,1.47228783174633e-05,549.282594919007,550.992211935381,549.282594919007,550.992211935381,549.282594919007,550.992215332653,0.00183661406757743,0.000181559980323157,0.00203289692621805,0.002282404,2.91437917744328,4.38952026115165
"14",8,35,27.3306,1,0,7.877,1.6817231749855e-05,627.418939132158,629.371929304466,627.418939132158,629.371929304466,627.418939132158,629.371933737076,0.00188269380160279,0.000167025166480088,0.00206653619983274,0.002292252,2.68106807696365,4.03811650057258
"15",8,35,27.3306,1,0,7.885,1.64441097866485e-05,613.498468164993,615.408096677797,613.498468164993,615.408096677797,613.498468164993,615.408100915887,0.00187514800155391,0.000169448516854221,0.00206104062819478,0.002290735,2.71996740850937,4.09670510334835
"16",8,35,27.222625,1,0,8.178,7.10860398605453e-06,264.517058678464,265.341158638487,264.517058678464,265.341158638487,264.517058678464,265.341159428072,0.00158832903106975,0.000280697858094675,0.00187613549315048,0.002280242,4.50324295568117,6.78495133302176
"17",8,35,27.222625,1,0,8.176,7.28218774100079e-06,270.976254377482,271.820484229783,270.976254377482,271.820484229783,270.976254377482,271.820485058402,0.00161963824883984,0.000284915875759099,0.00191183631233994,0.002319545,4.5709127215397,6.88690809453468
"18",8,35,27.222625,1,0,8.181,7.0299411422876e-06,261.589948925081,262.404926733671,261.589948925081,262.404926733671,261.589948925081,262.404927505878,0.00158164073653244,0.000281453378948211,0.00187012405662294,0.00227573,4.51536379616301,6.80321357505355
"19",8,35,27.1142,1,0,8.148,7.69797559185873e-06,285.696589081466,286.587863742901,285.696589081466,286.587863742901,285.696589081466,286.587864666071,0.00160198388388592,0.000263175375494904,0.00187285723497268,0.00225199,4.21980090955186,6.36009929328333
"20",8,35,27.1142,1,0,8.139,7.89369342101995e-06,292.960306086872,293.874248750959,292.960306086872,293.874248750959,292.960306086872,293.874249721669,0.00160902157704675,0.000258910090532252,0.00187582536100002,0.002248587,4.15141056972219,6.25702112411343
"21",8,35,27.1142,1,0,8.138,7.93966431941579e-06,294.666433718998,295.585700779481,294.666433718998,295.585700779481,294.666433718998,295.58570176153,0.00161466991814967,0.000259221406567398,0.00188183098903649,0.002254647,4.15640226655475,6.264544627752
"22",8,35,26.98925,1,0,8.131,8.14010192838859e-06,301.190116011105,302.131163946192,301.190116011105,302.131163946192,301.190116011105,302.131164974873,0.00162517928593406,0.000255573016186224,0.00188889240404868,0.002256016,4.09531173388593,6.17492830205003
